Task ID,VM ID,Host ID,Datacenter ID,Closest Datacenter,Arrival Time,Start Time,Finish Time,Deadline,Failed Count,Failed
226,117,39,1,1,230.237384,230.870667,237.644222,267.237384,0,0
227,80,26,3,3,231.312340,231.420667,271.499333,267.312340,0,1
228,80,26,3,3,231.363639,231.479333,271.609333,269.363639,0,1
229,120,40,1,1,231.773467,232.649333,252.379333,279.773467,0,0
230,120,40,1,1,232.832106,233.061333,252.847333,267.832106,0,0
231,94,31,2,2,233.453977,233.696667,240.444222,268.453977,0,0
232,83,27,3,3,233.633278,233.744889,240.522889,277.633278,0,0
233,123,41,1,1,236.720221,236.954667,256.856667,268.720221,0,0
234,123,41,1,1,237.099373,237.174667,257.076667,268.099373,0,0
235,126,42,1,1,238.589516,238.744889,274.957333,269.589516,0,1
236,97,32,2,2,241.658806,242.049333,255.515333,281.658806,0,0
237,97,32,2,2,241.754275,242.049333,255.515333,282.754275,0,0
238,100,33,2,2,242.434539,242.625333,282.121333,273.434539,0,1
239,126,42,1,1,242.616693,242.664667,278.962000,272.616693,0,1
240,100,33,2,2,243.119637,243.330667,282.772000,289.119637,0,0
241,103,34,2,2,244.528002,244.674667,264.817333,278.528002,0,0
242,103,34,2,2,244.718205,246.479333,265.666000,274.718205,0,0
243,129,43,1,1,244.796168,246.479333,259.935333,270.796168,0,0
244,106,35,2,2,245.432011,246.479333,253.258444,282.432011,0,0
245,129,43,1,1,245.733841,246.479333,259.935333,288.733841,0,0
246,109,36,2,2,246.705227,246.928000,266.362000,292.705227,0,0
247,109,36,2,2,247.752326,247.947333,267.174000,289.752326,0,0
248,86,28,3,3,247.957565,248.036000,260.615333,272.957565,0,0
249,112,37,2,2,248.123091,248.178000,254.886667,281.123091,0,0
250,115,38,2,2,248.309734,248.476000,255.146889,293.309734,0,0
251,118,39,2,2,251.693848,251.980000,258.736667,295.693848,0,0
252,132,44,1,1,253.305497,253.476000,273.502000,294.305497,0,0
253,132,44,1,1,253.332642,253.476000,273.502000,297.332642,0,0
254,273,91,1,1,253.512859,253.979333,274.115333,301.512859,0,0
255,239,79,3,3,255.680005,255.968667,262.638222,303.680005,0,0
256,86,28,3,3,256.496161,256.818000,268.832667,282.496161,0,0
257,135,45,1,1,256.587839,256.818000,296.521333,291.587839,0,1
258,121,40,2,2,256.784359,256.856667,263.636667,286.784359,0,0
259,124,41,2,2,256.886877,256.980000,263.746667,292.886877,0,0
260,135,45,1,1,257.233102,257.625333,297.218667,298.233102,0,0
261,274,91,2,2,257.997464,258.027111,278.162000,304.997464,0,0
262,127,42,2,2,259.371005,259.715333,273.137111,284.371005,0,0
263,127,42,2,2,259.512215,259.715333,273.137111,299.512215,0,0
264,242,80,3,3,259.810183,259.917333,269.979333,308.810183,0,0
265,89,29,3,3,260.372022,260.542667,267.322000,294.372022,0,0
266,130,43,2,2,261.668825,261.765333,297.236000,289.668825,0,1
267,138,46,1,1,261.751905,261.856667,301.901333,296.751905,0,1
268,285,95,1,1,262.055343,262.638222,302.815333,301.055343,0,1
269,138,46,1,1,262.543985,262.638222,302.400667,297.543985,0,1
270,285,95,1,1,263.559507,263.746667,303.316000,312.559507,0,0
271,92,30,3,3,264.806007,264.927333,271.609333,293.806007,0,0
272,141,47,1,1,266.175948,266.362000,273.090000,291.175948,0,0
273,130,43,2,2,266.391004,266.472000,301.968667,296.391004,0,1
274,248,82,3,3,268.515261,268.722667,287.642000,310.515261,0,0
275,248,82,3,3,269.602549,269.927333,288.862667,314.602549,0,0
276,95,31,3,3,271.141361,271.389333,281.502000,297.141361,0,0
277,257,85,3,3,271.452806,271.609333,284.949333,305.452806,0,0
278,257,85,3,3,271.475243,271.609333,284.949333,305.475243,0,0
279,260,86,3,3,273.519341,274.005333,311.563333,314.519341,0,0
280,0,0,1,1,274.705895,274.957333,294.860000,310.705895,0,0
281,260,86,3,3,275.322218,276.609333,314.122000,320.322218,0,0
282,0,0,1,1,275.446883,276.609333,295.851333,315.446883,0,0
283,3,1,1,1,275.622925,276.609333,294.263333,312.622925,0,0
284,292,97,2,2,276.452593,276.765333,286.880000,318.452593,0,0
285,295,98,2,2,280.717669,280.780667,287.450889,329.717669,0,0
286,3,1,1,1,281.334604,281.392667,297.834000,315.334604,0,0
287,263,87,3,3,282.013729,282.231333,302.355333,322.013729,0,0
288,263,87,3,3,282.540151,282.882000,302.737333,331.540151,0,0
289,266,88,3,3,285.989510,286.503333,322.798000,328.989510,0,0
290,266,88,3,3,289.191165,290.382000,326.733333,315.191165,0,1
291,269,89,3,3,290.614773,293.261333,333.387333,338.614773,0,0
292,269,89,3,3,290.665607,293.261333,333.387333,318.665607,0,1
293,272,90,3,3,291.537457,293.261333,313.389333,333.537457,0,0
294,272,90,3,3,291.688050,293.613333,313.609333,324.688050,0,0
295,4,1,2,2,292.299551,293.613333,333.672889,321.299551,0,1
296,6,2,1,1,292.928637,293.613333,313.642667,317.928637,0,0
297,275,91,3,3,292.937120,293.613333,333.802000,322.937120,0,1
298,6,2,1,1,293.392280,293.694667,313.752667,326.392280,0,0
299,4,1,2,2,294.691299,294.970000,334.461556,337.691299,0,0
300,7,2,2,2,294.797146,294.970000,301.748667,329.797146,0,0
301,275,91,3,3,297.041030,297.126000,335.616667,323.041030,0,1
302,10,3,2,2,297.244300,297.346000,334.076222,335.244300,0,0
303,278,92,3,3,297.479119,297.834000,317.858667,322.479119,0,0
304,3,1,1,1,297.559782,297.944000,308.058000,322.559782,0,0
305,10,3,2,2,298.325240,300.668000,337.463333,344.325240,0,0
306,144,48,1,1,300.816808,300.970222,320.960000,343.816808,0,0
307,144,48,1,1,301.605377,301.638667,321.350667,341.605377,0,0
308,147,49,1,1,306.504519,307.520667,325.925333,343.504519,0,0
309,136,45,2,2,307.037200,307.520667,345.246889,353.037200,0,0
310,147,49,1,1,308.601319,309.138667,327.616667,346.601319,0,0
311,136,45,2,2,309.373099,310.600000,348.070000,334.373099,0,1
312,150,50,1,1,309.754348,310.600000,317.357556,352.754348,0,0
313,139,46,2,2,311.195002,311.389333,330.555333,347.195002,0,0
314,98,32,3,3,311.505013,311.673333,350.811333,357.505013,0,0
315,98,32,3,3,312.399987,312.714000,351.798667,343.399987,0,1
316,139,46,2,2,313.520585,313.642667,332.217333,341.520585,0,0
317,162,54,1,1,314.259771,315.600000,322.270667,342.259771,0,0
318,142,47,2,2,315.976652,316.638667,327.354667,349.976652,0,0
319,101,33,3,3,316.971899,317.268889,336.708000,350.971899,0,0
320,101,33,3,3,317.548131,317.858667,337.407333,356.548131,0,0
321,177,59,1,1,317.582854,317.858667,335.468667,356.582854,0,0
322,177,59,1,1,318.580217,320.381333,337.937333,364.580217,0,0
323,104,34,3,3,319.100393,320.491333,327.162000,357.100393,0,0
324,180,60,1,1,325.320676,325.491333,332.270444,353.320676,0,0
325,142,47,2,2,326.216977,326.311111,336.939333,368.216977,0,0
326,148,49,2,2,326.633691,326.673333,333.437556,361.633691,0,0
327,183,61,1,1,328.251854,329.980000,367.748667,373.251854,0,0
328,151,50,2,2,329.809509,330.445333,348.816000,360.809509,0,0
329,151,50,2,2,332.020238,332.160444,350.578667,358.020238,0,0
330,183,61,1,1,332.794162,333.016444,370.492667,374.794162,0,0
331,157,52,2,2,333.743003,333.802000,340.582889,360.743003,0,0
332,186,62,1,1,334.141909,334.351556,341.082889,376.141909,0,0
333,169,56,2,2,335.121725,335.468667,373.064000,368.121725,0,1
334,189,63,1,1,335.206511,335.468667,373.110000,384.206511,0,0
335,107,35,3,3,335.318370,335.468667,355.332667,362.318370,0,0
336,107,35,3,3,335.612626,335.726667,355.552667,363.612626,0,0
337,189,63,1,1,337.591790,337.945333,375.556000,386.591790,0,0
338,169,56,2,2,337.763601,337.945333,375.536000,374.763601,0,1
339,172,57,2,2,339.651824,339.670222,346.449111,364.651824,0,0
340,175,58,2,2,339.847562,339.945778,359.327333,373.847562,0,0
341,175,58,2,2,340.606842,340.692889,360.130667,383.606842,0,0
342,110,36,3,3,340.632846,340.692889,378.305333,385.632846,0,0
343,178,59,2,2,343.663319,344.670222,380.560667,390.663319,0,0
344,192,64,1,1,345.246822,345.356889,380.350667,380.246822,0,1
345,110,36,3,3,347.268858,347.445778,382.942000,383.268858,0,0
346,178,59,2,2,348.700290,348.926000,384.882000,389.700290,0,0
347,181,60,2,2,349.757716,349.973333,362.595333,395.757716,0,0
348,192,64,1,1,350.506736,350.578667,385.571333,380.506736,0,1
349,195,65,1,1,351.127679,351.908667,370.889333,392.127679,0,0
350,113,37,3,3,351.149739,351.908667,358.577333,379.149739,0,0
351,116,38,3,3,351.968495,354.313333,390.100000,377.968495,0,1
352,195,65,1,1,354.552993,355.222667,373.110000,393.552993,0,0
353,181,60,2,2,357.666496,357.908889,370.369333,386.666496,0,0
354,198,66,1,1,358.916151,359.217333,379.240667,386.916151,0,0
355,198,66,1,1,359.096404,359.218667,379.350667,390.096404,0,0
356,30,10,1,1,359.908274,360.130667,366.827333,407.908274,0,0
357,116,38,3,3,360.402374,362.244000,396.198667,385.402374,0,1
358,184,61,2,2,362.175854,362.445778,399.560667,400.175854,0,0
359,119,39,3,3,363.523678,364.889333,375.000667,390.523678,0,0
360,2,0,3,3,363.827347,364.889333,404.998000,411.827347,0,0
361,33,11,1,1,364.443594,365.130667,405.226667,412.443594,0,0
